Iteration,Accuracy,C,Kernel
1,0.5278904798065522,28.12844439409722,poly
2,0.5243969716943451,27.472928054546397,poly
3,0.5597559913934984,42.80308345586712,poly
4,0.5593642797687814,43.69553958714763,poly
5,0.5189739358130905,24.93948259723517,poly
6,0.5198288650270111,25.41434112667539,poly
7,0.5521719612679789,39.638294257792786,poly
8,0.5560929291168295,40.394401438911416,poly
9,0.5511984304612264,35.964936805111094,poly
10,0.5564559266638021,40.44769195425283,poly
11,0.5466437035574497,32.07112406398706,poly
12,0.565215986111903,48.363470728697386,poly
13,0.5645697524793163,47.89713385082771,poly
14,0.5167364414369617,24.09257885960821,poly
15,0.5568437470563754,42.81777168997343,poly
16,0.5267682132484104,27.21087193865126,poly
17,0.553085322673352,40.01114071045422,poly
18,0.5470168916240916,34.502711565206425,poly
19,0.5199247006346501,25.598285599852467,poly
20,0.5382943433210124,29.12890991240898,poly
21,0.5455055191855156,33.337185127157035,poly
22,0.5432469154958934,34.60329366005702,poly
23,0.5418896978161571,30.601722431814597,poly
24,0.5576040346661761,41.524026847582974,poly
25,0.50991058217004,22.101308074853172,poly
26,0.5397198326293038,29.375937879668363,poly
27,0.5639565760001263,46.39167693414332,poly
28,0.5205409309001159,24.332524836662415,poly
29,0.5636242369664705,45.96890101481884,poly
30,0.5609897897873368,44.536354392140936,poly
31,0.5491707810904173,33.499734417613034,poly
32,0.5642299241316949,48.80853893664464,poly
33,0.562267895669583,46.785100152787784,poly
34,0.5596104317631854,43.26626128727601,poly
35,0.492124150910654,17.83316043339353,poly
36,0.5606278098760572,44.52104532129269,poly
37,0.5257585010003301,26.2672317728292,poly
38,0.5649432217451162,47.74590317880241,poly
39,0.5632334492282075,45.96544586320033,poly
40,0.5292096767227437,28.920389764411823,poly
41,0.5319994282594263,30.697695468565417,poly
42,0.5485150995199353,35.6398300958722,poly
43,0.5539134765521481,38.44000957851976,poly
44,0.5549329534473488,37.99755428719627,poly
45,0.5496930840610552,38.4559870593898,poly
46,0.5609121909369293,44.457985685778844,poly
47,0.5654578162662008,48.288670973666505,poly
48,0.5461982617138722,33.149897080855816,poly
49,0.532123093718257,27.659308461046134,poly
50,0.5526384698288549,37.581778090345004,poly
51,0.5584536948339249,41.36500331931335,poly
52,0.541119624915154,33.02113265894121,poly
53,0.5364253737507851,32.073657212648236,poly
54,0.5388926534961962,29.29707963862505,poly
55,0.5440541918660698,33.27868994445421,poly
56,0.5628513106182338,45.82689780718286,poly
57,0.5420379937084936,34.11193020180501,poly
58,0.518977201719946,25.482838394989937,poly
59,0.5486359778870267,34.44333946416928,poly
60,0.5362002612791079,28.71892527157287,poly
61,0.5257347694743837,27.000334641689893,poly
62,0.5668778559457529,49.148129351114896,poly
63,0.5374318229234192,32.44780054695842,poly
64,0.5582586563504695,42.86427987973676,poly
65,0.5525772899223027,37.80797599783854,poly
66,0.5130654998874102,23.08227484080616,poly
67,0.5161925398968519,23.79196077742597,poly
68,0.5647729514900375,49.288200818937234,poly
69,0.5626447598471583,44.78814671596344,poly
70,0.5523455173809817,36.964476340800786,poly
71,0.5644567390593953,48.08720683324266,poly
72,0.544741382754955,34.03374592021495,poly
73,0.5477032973382818,34.86899458367881,poly
74,0.5225875655381039,23.91137947333015,poly
75,0.5643439530322124,48.72032221445161,poly
76,0.562655755276946,45.57640899926857,poly
77,0.5290195422099373,27.57482345811175,poly
78,0.5582357519492962,42.03892261623695,poly
79,0.5462437103147243,36.283054250555864,poly
80,0.5546382249263899,39.632630488433165,poly
81,0.5448819712250437,32.60038263590637,poly
82,0.5223492342428117,25.436304043851976,poly
83,0.5631653441729594,46.093112760771014,poly
84,0.5649371994021091,49.16207327925589,poly
85,0.4985357632322682,17.115225704202025,poly
86,0.538234932752188,32.06346244595813,poly
87,0.5432916794124605,31.1348634926413,poly
88,0.5209742318500885,24.55968944709315,poly
89,0.5600690917065161,42.59798992023225,poly
90,0.5639897431124112,46.45956420698704,poly
91,0.5488873406585992,33.09841296953197,poly
92,0.538028809833454,32.659601249971395,poly
93,0.559919095854559,43.0345599986458,poly
94,0.5548802892720115,41.92491681221909,poly
95,0.5627890584850888,46.21332698742794,poly
96,0.5480887380004581,35.42263799976744,poly
97,0.5566187566859203,40.02730288869256,poly
98,0.5263165027464678,26.217642688190324,poly
99,0.5638733273031854,46.04029526964137,poly
100,0.5486879970114336,36.143009175955555,poly
